"","X1","X2","cx","cy","test1","test2","rx","ry","angle"
"65",5,10,0,0,"RBMT-prose_1_plus_pr2_delrec","Stroop-card_III_cw",2.35153442248245,2.00205706411,48.6470981542704
"66",5,11,0,0,"RBMT-prose_1_plus_pr2_delrec","LF-total_letter_123",2.39679584310684,2.0954586962198,36.3077453902741
"67",5,12,0,0,"RBMT-prose_1_plus_pr2_delrec","SF-Animals",2.45809216909487,1.97641681378677,42.0802538442413
"68",5,13,0,0,"RBMT-prose_1_plus_pr2_delrec","SF-Occupations",2.54516333082983,1.89348382077162,41.7044589953496
"69",5,14,0,0,"RBMT-prose_1_plus_pr2_delrec","MMSE-total",2.61472138472885,1.9967449763502,33.727411992044
"70",5,15,0,0,"RBMT-prose_1_plus_pr2_delrec","BNT-LongVersion",2.50130568427798,1.77443220498501,48.0103280884182
"71",6,1,0,0,"TMT-a","AVLT-total_1_to_5",2.07475691142412,1.81370367217734,58.4349065437495
"72",6,2,0,0,"TMT-a","AVLT-delayed_recall_1_to_5",2.17927984506816,1.93658923652131,31.717474411461
"73",6,3,0,0,"TMT-a","AVLT-recognition_1_to_5",2.32659771105636,1.98741695213391,13.2296697633547
"74",6,4,0,0,"TMT-a","RBMT-prose_1_plus_pr2_immrec",2.33673377373408,1.99070969059353,11.8874326580426
"75",6,5,0,0,"TMT-a","RBMT-prose_1_plus_pr2_delrec",2.21777004167355,1.99336861534806,13.6917533193833
"76",6,7,0,0,"TMT-a","TMT-b",2.34417825911968,1.51995038382159,47.2285044668681
"77",6,8,0,0,"TMT-a","Stroop-card_I_c",2.45959639006657,1.83180931711267,29.9364700916107
"78",6,9,0,0,"TMT-a","Stroop-card_II_w",2.45717668856436,1.79009281052034,32.5911143253534
"79",6,10,0,0,"TMT-a","Stroop-card_III_cw",2.33169491550384,1.8061139534423,36.3609381677095
"80",6,11,0,0,"TMT-a","LF-total_letter_123",2.36129406646747,1.92892974379467,23.9509552344418
"81",6,12,0,0,"TMT-a","SF-Animals",2.34427869830066,1.90097345641942,27.925584121499
"82",6,13,0,0,"TMT-a","SF-Occupations",2.36970991434888,1.89960902442954,27.1510273556494
"83",6,14,0,0,"TMT-a","MMSE-total",2.45947643970734,1.98384380095698,11.9646273837255
"84",6,15,0,0,"TMT-a","BNT-LongVersion",2.20747759659113,1.92173999296742,32.1107845689054
"85",7,1,0,0,"TMT-b","AVLT-total_1_to_5",2.10316555221025,1.70977432243103,49.0487461761314
"86",7,2,0,0,"TMT-b","AVLT-delayed_recall_1_to_5",2.20078354620364,1.84626287905229,30.5312346277947
"87",7,3,0,0,"TMT-b","AVLT-recognition_1_to_5",2.34313314897472,1.90397122314764,16.6907378236027
"88",7,4,0,0,"TMT-b","RBMT-prose_1_plus_pr2_immrec",2.41345052678946,1.83057441202174,24.5780283006382
"89",7,5,0,0,"TMT-b","RBMT-prose_1_plus_pr2_delrec",2.32133951041322,1.80441170287449,29.6850007575896
"90",7,6,0,0,"TMT-b","TMT-a",2.34417825911968,1.51995038382159,42.7714955331319
"91",7,8,0,0,"TMT-b","Stroop-card_I_c",2.46738522277777,1.7520405989542,28.9973083959583
"92",7,9,0,0,"TMT-b","Stroop-card_II_w",2.48040461855286,1.68589406518885,32.1380494267339
"93",7,10,0,0,"TMT-b","Stroop-card_III_cw",2.37933478089309,1.67036256959813,35.9349065437495
"94",7,11,0,0,"TMT-b","LF-total_letter_123",2.40381652177823,1.80849165774488,26.7581490984306
"95",7,12,0,0,"TMT-b","SF-Animals",2.35618616412036,1.81940258848937,27.2132225404484
"96",7,13,0,0,"TMT-b","SF-Occupations",2.37455427531934,1.827027049361,25.9636090630046
"97",7,14,0,0,"TMT-b","MMSE-total",2.51015739258352,1.85371701459685,20.2351665456645
"98",7,15,0,0,"TMT-b","BNT-LongVersion",2.21441703808402,1.84794357141715,29.6376532646047
"99",8,1,0,0,"Stroop-card_I_c","AVLT-total_1_to_5",2.37414495803118,1.81928232783809,70.5540191590913
"100",8,2,0,0,"Stroop-card_I_c","AVLT-delayed_recall_1_to_5",2.36480797064918,2.06386457749576,66.3987009191171
"101",8,3,0,0,"Stroop-card_I_c","AVLT-recognition_1_to_5",2.38920765182557,2.23758464987075,46.7266581252655
"102",8,4,0,0,"Stroop-card_I_c","RBMT-prose_1_plus_pr2_immrec",2.42171753076437,2.21602103349181,44.456118079808
"103",8,5,0,0,"Stroop-card_I_c","RBMT-prose_1_plus_pr2_delrec",2.40606970030696,2.11070277628596,56.3099324740202
"104",8,6,0,0,"Stroop-card_I_c","TMT-a",2.45959639006657,1.83180931711267,60.0635299083893
"105",8,7,0,0,"Stroop-card_I_c","TMT-b",2.46738522277777,1.7520405989542,61.0026916040417
"106",8,9,0,0,"Stroop-card_I_c","Stroop-card_II_w",2.91507425595976,1.44800098394253,45.7295526470282
"107",8,10,0,0,"Stroop-card_I_c","Stroop-card_III_cw",2.66611343505772,1.71548919010506,49.8813273661695
"108",8,11,0,0,"Stroop-card_I_c","LF-total_letter_123",2.56302336010338,2.01980348018112,46.2508114071409
"109",8,12,0,0,"Stroop-card_I_c","SF-Animals",2.52611492788212,2.01997556584373,48.6930215756337
"110",8,13,0,0,"Stroop-card_I_c","SF-Occupations",2.54692246817231,2.02223655469229,47.1661569915943
"111",8,14,0,0,"Stroop-card_I_c","MMSE-total",2.47351603916361,2.28442426143404,24.9495462268939
"112",8,15,0,0,"Stroop-card_I_c","BNT-LongVersion",2.33118598565996,2.11750538569372,75.9851595088583
"113",9,1,0,0,"Stroop-card_II_w","AVLT-total_1_to_5",2.38419655093568,1.76038889153694,64.8000132883375
"114",9,2,0,0,"Stroop-card_II_w","AVLT-delayed_recall_1_to_5",2.37423968611788,2.01292061889234,58.9656506925008
"115",9,3,0,0,"Stroop-card_II_w","AVLT-recognition_1_to_5",2.43779133171458,2.14692372121315,42.4027855461326
"116",9,4,0,0,"Stroop-card_II_w","RBMT-prose_1_plus_pr2_immrec",2.47511689894483,2.11808194578462,41.829904127045
"117",9,5,0,0,"Stroop-card_II_w","RBMT-prose_1_plus_pr2_delrec",2.44190346269253,2.02937302245252,50.4710927045047
"118",9,6,0,0,"Stroop-card_II_w","TMT-a",2.45717668856436,1.79009281052034,57.4088856746466
"119",9,7,0,0,"Stroop-card_II_w","TMT-b",2.48040461855286,1.68589406518885,57.8619505732661
"120",9,8,0,0,"Stroop-card_II_w","Stroop-card_I_c",2.91507425595976,1.44800098394253,44.2704473529718
"121",9,10,0,0,"Stroop-card_II_w","Stroop-card_III_cw",2.81326415973884,1.40485534853341,47.6235694508082
"122",9,11,0,0,"Stroop-card_II_w","LF-total_letter_123",2.57518024535211,1.96319925625166,44.4395693123449
"123",9,12,0,0,"Stroop-card_II_w","SF-Animals",2.58301656130681,1.90436160754746,46.2497097982603
"124",9,13,0,0,"Stroop-card_II_w","SF-Occupations",2.56926713290372,1.95246790360476,45.1860226436016
"125",9,14,0,0,"Stroop-card_II_w","MMSE-total",2.53319864235679,2.18100669723896,31.717474411461
"126",9,15,0,0,"Stroop-card_II_w","BNT-LongVersion",2.29250716661835,2.12124440411618,76.717474411461
"127",10,1,0,0,"Stroop-card_III_cw","AVLT-total_1_to_5",2.28407535998333,1.73869526817152,60.1168706363267
"128",10,2,0,0,"Stroop-card_III_cw","AVLT-delayed_recall_1_to_5",2.32116461507735,1.93849363618162,48.5098708616018
"129",10,3,0,0,"Stroop-card_III_cw","AVLT-recognition_1_to_5",2.3916410712931,2.07095636615047,31.1770123181307
"130",10,4,0,0,"Stroop-card_III_cw","RBMT-prose_1_plus_pr2_immrec",2.43668800155046,2.03266465958008,33.1743433366789
"131",10,5,0,0,"Stroop-card_III_cw","RBMT-prose_1_plus_pr2_delrec",2.35153442248245,2.00205706411,41.3529018457296
"132",10,6,0,0,"Stroop-card_III_cw","TMT-a",2.33169491550384,1.8061139534423,53.6390618322905
"133",10,7,0,0,"Stroop-card_III_cw","TMT-b",2.37933478089309,1.67036256959813,54.0650934562505
"134",10,8,0,0,"Stroop-card_III_cw","Stroop-card_I_c",2.66611343505772,1.71548919010506,40.1186726338305
"135",10,9,0,0,"Stroop-card_III_cw","Stroop-card_II_w",2.81326415973884,1.40485534853341,42.3764305491918
"136",10,11,0,0,"Stroop-card_III_cw","LF-total_letter_123",2.50355153095059,1.91693338183112,38.3377343690546
"137",10,12,0,0,"Stroop-card_III_cw","SF-Animals",2.52285818638653,1.84131841417316,41.033620842914
"138",10,13,0,0,"Stroop-card_III_cw","SF-Occupations",2.5018324213814,1.90021006545479,39.2810019300664
"139",10,14,0,0,"Stroop-card_III_cw","MMSE-total",2.5205766293164,2.06815818386509,25.8652419673078
"140",10,15,0,0,"Stroop-card_III_cw","BNT-LongVersion",2.2209784186648,2.06862781512786,50.8625560075825
"141",11,1,0,0,"LF-total_letter_123","AVLT-total_1_to_5",2.41808640326726,1.72932081031942,63.2896522339922
"142",11,2,0,0,"LF-total_letter_123","AVLT-delayed_recall_1_to_5",2.41978358425544,1.97176088464005,56.9455462007737
"143",11,3,0,0,"LF-total_letter_123","AVLT-recognition_1_to_5",2.45158927936321,2.14386289737272,43.6542949921108
"144",11,4,0,0,"LF-total_letter_123","RBMT-prose_1_plus_pr2_immrec",2.47765582281861,2.1279159973748,42.7430057709994
"145",11,5,0,0,"LF-total_letter_123","RBMT-prose_1_plus_pr2_delrec",2.39679584310684,2.0954586962198,53.6922546097259
"146",11,6,0,0,"LF-total_letter_123","TMT-a",2.36129406646747,1.92892974379467,66.0490447655582
"147",11,7,0,0,"LF-total_letter_123","TMT-b",2.40381652177823,1.80849165774488,63.2418509015694
"148",11,8,0,0,"LF-total_letter_123","Stroop-card_I_c",2.56302336010338,2.01980348018112,43.7491885928591
"149",11,9,0,0,"LF-total_letter_123","Stroop-card_II_w",2.57518024535211,1.96319925625166,45.5604306876552
"150",11,10,0,0,"LF-total_letter_123","Stroop-card_III_cw",2.50355153095059,1.91693338183112,51.6622656309454
"151",11,12,0,0,"LF-total_letter_123","SF-Animals",2.6335549185913,1.84859034260679,46.5244779077107
"152",11,13,0,0,"LF-total_letter_123","SF-Occupations",2.63028877897128,1.88392556375601,45.6159887013199
"153",11,14,0,0,"LF-total_letter_123","MMSE-total",2.60325410043586,2.10980656443497,36.3939640365076
"154",11,15,0,0,"LF-total_letter_123","BNT-LongVersion",2.4552541702079,1.94456266713031,54.4852039042433
"155",12,1,0,0,"SF-Animals","AVLT-total_1_to_5",2.36048926390967,1.75460702897377,63.7124015497771
"156",12,2,0,0,"SF-Animals","AVLT-delayed_recall_1_to_5",2.41718847094128,1.92698120106667,53.3185084830107
"157",12,3,0,0,"SF-Animals","AVLT-recognition_1_to_5",2.48431740667203,2.06093867274442,41.2145555495828
